,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,147307,165113,178595,199442,212213,219391,232177,245598,266599,282066,293694,313281,326415,334325,340712,350258,370168,387364,404080,423742,435927,444545,472040
부산광역시,34809,36541,40807,43856,47879,51184,52915,54819,59096,63845,63676,66831,68484,71156,73319,77563,82701,85536,87836,89980,93012,91286,97806
대구광역시,21353,23253,24858,27066,28643,31090,32140,33816,36154,37335,37944,40617,42636,44843,46905,48818,51822,53167,54833,56714,58095,57725,60987
인천광역시,27804,29954,33441,38463,40605,44384,46064,49106,54061,53700,56345,63266,64418,66408,69398,74612,80138,84663,88547,88735,90041,89615,98671
광주광역시,12285,13633,14959,16633,17281,18381,20096,21635,23470,24214,25191,27882,28678,29774,31263,33017,34846,36819,37744,39805,41520,42068,43743
대전광역시,13726,15341,16381,18363,19968,21318,22076,23192,24669,26160,27928,30225,31680,32877,33675,34931,37163,39335,40537,41308,43092,44393,46717
울산광역시,28292,30567,32555,36362,36429,43744,43942,45453,49982,53267,51194,61090,68677,70002,71266,70135,72854,74661,75750,73648,74655,69363,77974
경기도,108052,122328,135725,151429,164061,179960,192127,205603,221225,235059,248016,278532,292825,311415,333380,351735,381978,407438,451426,479822,477413,491298,529211
강원도,16913,17788,18862,20392,22423,23659,24386,25929,27805,29006,30216,31729,33087,34557,36279,38776,40868,43079,45512,46926,48823,48657,51207
충청북도,19506,20609,21576,23307,24823,28113,28096,30435,32758,33763,35602,40324,43343,45510,47737,50082,55192,59671,65312,69637,69420,69584,75289
충청남도,29165,32629,34796,38765,43579,49064,52594,55872,60502,65705,73497,85105,92245,94248,93939,96781,101299,106869,115558,115534,113488,115531,125416
전라북도,19333,20816,22217,23737,24751,26639,27105,28760,30806,32826,35702,37741,40038,41200,43478,45152,47018,47879,49348,50595,51998,52820,55956
전라남도,29732,31433,33597,36131,39239,44220,44344,44466,49494,54112,53015,61793,63234,64522,66476,66215,68878,71615,73732,75425,76948,78819,88384
경상북도,40410,45717,47614,51835,56812,63876,67050,68926,71810,76392,79082,87701,91010,92989,97212,103477,103120,107441,110028,108783,106805,105772,113286
경상남도,40626,44406,48913,53736,57189,61723,65412,68983,75474,82449,86012,90168,94330,98371,99701,101056,106591,109338,109492,110720,114021,110847,112950
제주특별자치도,5372,5751,6103,6878,7426,8144,8452,8700,9309,9602,10596,11159,12207,13193,13961,15148,16947,18719,19981,20051,20309,19616,20188
