,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,187689188,193907158,185166213,170746245,166006456,161153974,161873459,159769899,143110161,114549997,145101985.5513,130292137.63599,113308974,106189660,103038526,62206030,53677893,57422880.47276,58898512.95236,60158742.11101,45358052.32778,42125182.65671,36906754.06909
부산광역시,55406177,52333174,55150971,56935934,47850165,50187377,51202521,55211067,52421030,41448705,50112387.9805,42220581.71064,37742815,36880381,36078678,25559582,22019004,27128399.09297,28284527.58969,26822828.9571,24525123.67478,22210479.15238,21919534.55913
대구광역시,36611520,39476957,36710520,32776079,34442252,41012618,38251011,43146046,38271846,33081043,38182142.7197,34572209.85037,33058487,32290730,31526787,21607780,20440709,20446160.00477,18683892.95804,17414372.57039,16256032.08894,13535191.73332,12206525.51018
인천광역시,39972103,47184528,52197269,48279627,45911163,48693667,45217979,50697957,58040668,47726789,45030929.25299,45329018.99634,41491008,40057113,41461063,37199332,38917440,38746699.95744,43627052.82095,39709429.927,36690876.985,32136133.83832,30572982.95661
광주광역시,22396860,21464492,18029495,22573328,19360000,18362831,16412867,16647186,15400739,14870225,17752671.96639,15215573.31779,14487372,14455620,13869330,9144697,9187783,9405541.98729,9784153.86434,8123759.97816,7604469.26811,7040017.72483,6400237.49587
대전광역시,20509899,20740851,20182833,19556350,23975235,22299285,23674090,24752721,22653143,21783500,22990868.23653,20260577.03443,19709141,18378258,18124342,11897441,11891648,11684490.04955,11582764.88588,10809250.22485,8871280.82953,7898760.09079,7425518.42896
울산광역시,36018718,37891204,32196701,32571518,30643998,31049233,32591380,33828571,34615316,28736543,31630295.4576,31300231.06361,31094423,31481956,36185363,30855793,30456208,32104512.23445,31580213.35767,31505370.38832,29219464.91084,27506620.94563,27606964.39296
경기도,153664354,152330937,145659068,144228657,143889206,147335574,138116391,141780201,148018853,127037376,141080368.27814,130941839.38373,121171139,119093484,120438402,97588595,129419726,136681377.65798,132684806.14892,126981469.71288,115018438.27542,109728416.03796,107100208.41089
강원도,34271959,33897866,32506194,31514547,31147875,31841578,29120961,31245252,32467966,29757219,32995440.38365,32127143.86308,30617933,29179325,28473993,24443887,45416977,47854922.66351,48857041.31461,46488194.44589,47347823.67556,41561107.8384,41312368.8542
충청북도,37881702,39050098,35326400,34276266,34401588,35832309,33932270,36555239,34188482,31434204,35333571.59167,34795970.02121,32186536,32044297,31459936,22936418,48418460,48197748.17026,45867921.85362,42366347.02592,39672827.03836,37163027.15631,36566069.4756
충청남도,44431869,50222796,38671217,39723379,40552753,44087214,40903896,46299320,44292748,43531899,53971228.63001,52198146.75515,52307334,52007913,52430089,51679402,64994870,65348386.07764,66114157.15348,63728613.45579,62617953.03308,58979027.70764,60527947.68555
전라북도,39450484,37580988,33766965,32813280,31462341,32546980,29714627,32324078,29594853,25832057,32302570.3185,31441585.15697,29872169,29321974,27608883,22323161,40372556,43294113.52433,41714079.223,38821372.74929,38816338.75143,36067220.52337,33508084.12552
전라남도,47668516,47133115,40832414,40813846,39868761,37841984,35274474,37401089,36225328,33054438,40274945.07472,40760391.20464,39534929,38494537,37694458,34003081,65661728,67747317.84377,69027177.34546,67452441.16921,66985910.79396,64540533.54673,64187200.96516
경상북도,64463678,63083565,56370643,54152100,54902576,55695646,55187481,61120951,58729506,56355272,66267444.589,62829379.19731,59615501,58673736,56979869,47142760,94249353,97589986.2971001,93031680.04441,89935313.27982,85092249.73183,85269563.30645,83615889.11604
경상남도,53770091,54093439,52556110,51996534,51637221,49800539,48179739,51591731,51174728,46089407,55053536.08501,52233032.09264,50822971,51342697,47055379,39337751,54947931,63349439.3493599,61220997.62517,58223696.42848,54256662.79818,51287192.53028,50349339.50653
제주특별자치도,10971963,10177489,9753025,9809243,9362607,9213425,9264074,7566331,9656205,8372510,9899052.54989,9750911.10324,11323780,9906962,9918769,9559571,12013058,23347079.8937,22767115.27762,22886027.06826,22855281.22092,22957165.18842,23120598.94952
