구분(1),2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12
서울특별시,25,30,30,21,22,20,19,22,16,24,21,28,27,23,32,30,29,28,21,22,23,20,28,30,32,28,39,26,24,22,22,13,19,15,22,32,32,30,34,26,23,24,16,10,14,15,28,24,38,35,45,21,29,20,19,16,12,15,20,28,29,28,25,21,19,21,13,14,11,17,24,27,21,29,32,19,20,19,15,13,7,13,26,23,29,26,21,22,17,12,16,11,11,14,22,19
부산광역시,27,31,27,24,31,30,21,23,16,25,23,29,33,29,32,29,31,27,17,21,21,21,31,30,31,27,34,27,29,26,23,16,23,16,27,28,28,30,26,28,24,25,23,14,14,17,26,23,29,28,30,20,25,21,18,19,13,13,17,23,21,22,16,17,17,15,10,19,13,15,17,21,19,21,21,15,16,15,9,10,8,12,18,19,21,19,21,16,17,10,12,10,10,11,19,18
대구광역시,33,33,29,22,25,28,20,22,15,25,22,31,30,25,29,25,26,24,19,17,20,20,31,28,29,24,28,21,23,21,19,12,21,17,29,29,30,28,26,24,21,22,18,12,12,17,31,26,33,33,33,19,23,20,16,16,13,14,21,29,26,26,20,18,20,20,14,16,15,18,23,24,21,24,23,17,18,20,10,11,9,15,22,22,24,21,22,17,17,12,12,9,9,12,23,20
인천광역시,31,33,31,30,28,26,23,27,21,31,31,38,29,25,35,31,29,25,19,20,25,21,29,29,31,26,37,27,27,24,23,15,22,17,23,28,29,27,32,24,21,22,16,12,15,16,29,24,33,31,41,20,26,17,19,18,14,16,19,25,27,23,21,16,15,17,14,14,10,15,21,24,20,28,33,19,20,23,19,13,8,14,25,24,28,24,22,22,16,12,18,11,14,17,24,20
광주광역시,27,33,35,24,24,27,22,22,16,30,25,27,26,24,29,29,27,23,15,17,21,18,26,26,30,23,33,26,24,22,16,15,22,20,31,28,28,31,32,25,21,27,15,14,13,20,36,26,33,34,39,20,22,25,17,17,15,18,20,22,27,21,18,17,18,18,9,14,13,17,20,24,22,25,27,18,20,18,10,10,8,15,21,23,23,24,21,17,16,12,12,9,12,14,21,20
대전광역시,34,36,37,23,29,27,19,20,18,33,30,34,31,26,30,25,25,22,13,15,17,16,25,25,26,24,29,22,21,21,17,11,18,15,24,25,30,28,27,23,19,19,14,11,11,17,34,27,34,36,39,16,22,18,14,15,12,15,21,25,25,23,20,17,16,19,9,10,12,18,20,20,18,21,23,15,18,18,9,11,8,15,19,21,25,24,24,18,15,10,12,8,10,14,24,21
울산광역시,27,32,29,25,31,30,22,24,13,22,18,23,24,21,28,27,29,25,19,16,20,18,27,24,26,23,33,27,31,28,27,16,22,15,25,24,25,27,23,26,24,29,27,16,14,19,29,19,26,26,29,19,26,22,19,18,13,11,15,20,19,19,17,17,19,19,12,17,14,15,17,19,17,21,20,16,17,17,10,11,8,12,17,17,18,18,20,16,19,12,12,14,12,12,19,18
경기도,30,36,34,24,23,21,19,21,17,26,25,34,31,27,35,32,29,26,20,21,24,23,33,34,38,32,42,29,27,23,21,12,21,18,28,35,37,33,37,27,23,24,14,11,13,19,36,28,41,38,47,21,28,19,18,16,13,17,23,31,31,29,26,20,19,21,13,13,11,19,25,29,22,31,33,19,21,21,15,13,8,15,27,25,31,27,24,22,17,13,15,10,12,16,25,22
강원특별자치도,36,38,35,23,26,21,18,21,14,25,24,37,35,31,38,32,30,26,19,17,21,22,33,33,38,34,38,27,27,23,19,11,19,15,25,31,33,29,30,27,23,21,17,12,13,15,26,23,33,31,38,18,23,17,15,14,10,13,19,25,24,25,21,19,15,18,9,11,10,15,20,24,18,22,20,15,15,14,10,10,6,10,20,18,24,22,20,17,15,10,9,8,7,9,18,19
충청북도,,,,,,,,,,,,36,35,29,36,30,26,23,11,12,19,22,36,37,40,34,40,27,25,24,16,9,22,20,33,35,40,33,34,28,25,25,19,13,13,22,41,33,45,45,47,23,27,25,16,17,14,19,28,33,33,30,26,21,19,20,10,11,11,21,25,29,24,28,27,18,20,19,10,11,8,18,27,25,30,26,26,20,18,14,14,11,12,16,27,26
