,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,3188632,3749690,4532622,4636994,4683121,4423739,4310503,3432990,3919562,2116491,1950741.34701,1937900.39835,1742412,1727467,1735385,1423732,9162575,8510187.85506,10553606.00355,15210001.09314,9466452.96725001,9121110.63987,9532979.96
부산광역시,3046823,3051419,3551770,3758568,3027076,2994195,3205962,3485691,2959168,2043283,3280165.02884,3091856.91664,3147418,3130999,2994853,2222972,6606778,6502284.81797,6701731.19733,6495071.43894,5888140.8912,6635661.42287,7256868.76848
대구광역시,3757061,2003721,2313224,2075576,2147070,2153688,2342754,2246695,1993122,1398799,1330583.12984,1268609.90598,1240074,1360634,1310367,2532341,3938881,3960777.51177,3586287.3208,3782509.33367,3912627.112,3062617.70919,3092880.7769
인천광역시,1775946,2118748,2514820,2568683,2969558,2635271,2727864,2565709,2465706,1793426,2053414.81242,2303420.73296,2252258,2040649,2037217,1727295,8291521,6422499.53563,9552360.41261,7392924.87999,6972463.46661,6772236.99979,6887262.80154
광주광역시,576855,635602,692086,825296,841618,828296,699157,706219,651637,464717,397835.50287,442955.57408,435988,494176,463011,353642,1871922,1872640.36298,2017212.68191,1628309.61167,1903754.45726,1763930.71562,1644967.32217
대전광역시,778204,837304,929561,962014,1151085,1052498,906226,832889,819741,464717,577318.09261,551933.0643,594323,497477,494369,384483,1912129,1607554.70498,1688284.04295,1866239.48448,1583384.22184,1452645.72802,1588560.14661
울산광역시,9379802,10213322,10486765,8834474,8918612,8736509,9915971,8924729,9797367,7701320,6490372.24959,7107690.84625,3085233,3508598,3602200,3668532,5910018,4353516.28373,3656225.28333,3686511.69579,3397550.07599,3212798.82057,3419478.52922
경기도,7765332,7585025,8614364,8877063,9416828,9346203,8945303,8660486,8474622,6826541,6741077.46369,6383770.65071,5834489,6044292,6433026,6762940,33148220,32600464.5578,31076383.05463,30556030.2028,28660766.97981,28075782.08243,28772056.33597
강원도,6853139,5441393,5055893,4503259,5033575,3748765,5051265,4495505,9484557,19892302,32941301.36503,36611591.90004,46124596,3870709,3490744,5690513,11869292,9455527.16343,9364554.69048,9354111.14556,8998583.2221,7946338.90739,7889079.1123
충청북도,4839388,4495260,5013021,4531216,4259743,3333348,3968003,3953762,5097363,6106038,4953109.11045,5102565.99005,5026219,3603222,3164288,4668506,11015612,9242897.12396,9283176.69082,9006799.40589,8483182.33181,8235661.00065,8271857.09917
충청남도,3880687,4087089,4490176,4319702,4605147,4568088,5469395,5663276,3814335,3654260,3729015.38989,4445969.04539,5312371,30818484,30976065,13975687,28649591,15480129.48517,14236074.94711,15915559.7743,13384606.06534,12765996.248,12051208.37369
전라북도,1983331,1929440,2370319,2301232,2509884,2512992,2462684,2559550,1923400,1580220,1717567.0625,3925210.743,3510472,1720531,1623650,1357233,9876711,8923316.24172999,8935217.57643,9034247.18992,9154198.90565,8692161.17544,8104515.41661
전라남도,4593852,4356945,4848326,6084817,5167536,5655694,5665635,5568193,25351528,32846676,21066694.25167,24085449.0003,29662943,18358930,20508212,23844273,33854363,14202089.40761,14557276.36778,14270153.91031,14720175.22492,13921935.79262,13466656.43091
경상북도,7112581,7150502,7187845,6057760,6315220,5582122,5737057,5906635,16923491,19780333,12567046.30418,15848144.92026,18309396,32859491,33090771,22761254,44264566,20309565.13553,18077456.34905,19410537.25053,17215980.76635,17685101.95476,16780034.71377
경상남도,3235519,3582771,4220996,4243030,4793761,4433430,5479320,5415249,4005560,3547299,3515085.45615,3244278.2702,4299430,9131563,8784603,3051603,14786168,13739264.3829,12241737.48203,11507947.12401,10833248.72695,10404085.8626,10377490.01813
제주특별자치도,484024,480880,546032,519933,517210,486197,455523,377314,461821,369852,424141.71839,456172.24613,598643,469759,511456,449284,3584078,3475491.55858,3022817.45908,2998467.24523,2814316.1875,2739143.20498,2889902.40412
