,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
서울특별시,10036,10078,10091,10049,10041,10052,10029,10057,10069,10112,10139,10089,10072,10036,9990,9975,9941,9843,9766,9697,9657,9618,9508,9421
부산광역시,3752,3733,3716,3685,3649,3624,3590,3563,3538,3514,3497,3477,3476,3462,3456,3452,3452,3447,3424,3403,3381,3356,3334,3303
대구광역시,2512,2529,2535,2531,2532,2533,2509,2490,2484,2481,2482,2480,2483,2480,2476,2475,2469,2461,2458,2449,2437,2414,2396,2372
인천광역시,2494,2522,2551,2572,2573,2571,2581,2607,2643,2689,2700,2723,2755,2794,2830,2862,2883,2907,2924,2936,2952,2951,2950,2975
광주광역시,1361,1382,1402,1422,1432,1445,1445,1448,1456,1465,1479,1494,1502,1504,1504,1505,1506,1502,1495,1488,1489,1480,1476,1470
대전광역시,1378,1397,1418,1434,1453,1461,1470,1481,1494,1501,1508,1515,1528,1540,1545,1553,1542,1536,1528,1513,1503,1492,1482,1472
울산광역시,1027,1036,1047,1057,1062,1067,1071,1076,1079,1092,1098,1099,1112,1125,1137,1151,1164,1166,1159,1153,1146,1139,1125,1114
경기도,8893,9146,9451,9814,10149,10416,10625,10853,11057,11267,11413,11619,11825,11974,12126,12282,12423,12600,12786,13027,13241,13452,13611,13690
강원도,1513,1516,1517,1510,1501,1497,1489,1482,1476,1480,1485,1489,1498,1504,1506,1510,1517,1521,1521,1521,1520,1519,1520,1527
충청북도,1483,1494,1499,1496,1491,1491,1485,1487,1494,1509,1517,1524,1545,1553,1565,1578,1589,1601,1609,1618,1629,1631,1626,1623
충청남도,1870,1879,1882,1877,1872,1892,1918,1943,1973,2013,2040,2078,2108,2043,2062,2088,2103,2126,2153,2177,2189,2177,2175,2186
전라북도,1930,1927,1916,1896,1871,1843,1817,1801,1792,1788,1792,1796,1809,1817,1821,1829,1835,1835,1829,1823,1812,1806,1792,1777
전라남도,2055,2035,2012,1963,1929,1881,1851,1830,1806,1794,1785,1777,1779,1782,1784,1792,1797,1798,1795,1796,1793,1793,1785,1775
경상북도,2771,2773,2757,2737,2705,2670,2652,2653,2643,2639,2634,2630,2645,2656,2661,2671,2678,2683,2675,2675,2671,2652,2641,2626
경상남도,3020,3036,3048,3070,3095,3102,3110,3123,3137,3166,3192,3217,3245,3265,3278,3307,3330,3338,3339,3351,3350,3340,3315,3287
제주특별자치도,522,524,529,534,537,539,542,544,543,544,546,548,554,561,570,583,599,618,635,655,664,669,672,675
