,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,89735598,96591381,105708313,110353980,111697812,103549221,107257446,87892856,113086264,71493077,66997807.13471,71070438.13111,62066910,61771033,64021635,62349860,63196772,76417538.30417,81410806.33558,91061751.17675,69135688.54316,66144966.38145,62209390.86568
부산광역시,48093183,50380752,56313579,65366439,65044933,73486147,68743289,73939370,62958934,48552199,55910766.02981,53777541.07463,52764473,54467958,53409176,44795612,43754946,51466186.18594,54366008.36509,50993310.95757,47811055.43566,43099214.15522,41944648.47908
대구광역시,31959447,33449031,38068817,36719722,39276944,41445800,41551721,39325294,35210382,26253119,23731875.87408,24052915.66705,22529218,24743821,26936905,29051953,26193151,31253256.9895,27798469.75635,26528340.93743,26917139.40592,21344332.76692,19948300.04288
인천광역시,47205661,51808889,62571475,62117792,66822977,70379559,75890470,80163385,64851033,46431940,45427123.1407,52832110.41531,45314666,45655216,44517735,43853036,49459595,54088227.37585,64551410.12754,55483062.40857,51310843.96509,44556796.36772,42552501.40063
광주광역시,12738149,14673188,14223909,17465653,20594737,17054312,15074448,15767525,14243105,10745648,9953624.45045,11705526.41636,11076974,12531186,12606258,11594167,10551674,13666238.44624,14626066.49872,12312023.85833,12242231.18166,11059775.54731,10016343.70899
대전광역시,19015416,20520429,21837413,23003157,25595587,22496723,21395845,20184001,19916922,17581896,15131432.40984,14506442.96512,14616501,12962106,13563175,13491588,13896906,16254907.26343,16224114.38284,16149287.29963,14158640.18034,12301751.54958,11923464.47133
울산광역시,62530770,71037004,71928638,67794339,68077765,64512462,63204794,67242590,64198170,52118622,53392658.89544,55881814.53302,54463264,59782630,59425434,50813011,47506116,56773962.44825,54258361.47493,53878298.40196,50184209.40919,42614909.64014,42426715.86884
경기도,171527542,166386700,180858422,191377563,203289681,201078341,194875001,187061570,207460970,174227424,166459190.26079,167869062.26737,156611719,166600445,175371958,163061081,185175588,213986750.91458,195127266.62344,181469513.45059,165943178.35053,151753624.76164,143927501.27436
강원도,63386512,66585398,67783661,71772658,76571223,73605225,65078027,66449433,81098857,82969641,89004599.22861,89857260.80669,96365268,75759261,76586378,79422296,78689332,86230939.82213,87580787.09093,80390824.35694,74180408.35543,59266780.03735,55060052.55991
충청북도,50652662,48709854,53236814,53789433,52655345,52147180,48697102,49067686,63760836,61721108,59565634.65546,61650523.77468,59679718,62178873,61896634,62389145,65429319,73787841.21959,69223705.72434,61379870.21848,54711525.56578,48984472.97726,47893136.27835
충청남도,137818194,148514516,165113315,177499148,214858071,234957716,207790365,189817833,105296209,114307836,114836041.97322,127176713.3766,125980746,138729511,143564682,150355910,135487185,128231162.73528,106994292.66992,100129734.80933,87123754.91251,72816290.52118,69902027.89669
전라북도,44588600,45278197,45708099,48802500,49395668,49099350,45411708,46691066,42383037,36590998,37223581.88045,40913694.46124,38918669,38881012,38536467,37853400,36597460,42794025.95853,41230104.2167,39026622.85842,36831024.36914,33012380.15166,30376687.99697
전라남도,67938042,73024542,79058548,89137448,84282988,98485186,92670023,94777270,98207085,94433067,92755137.4296,100648077.62975,103860614,102611693,103466456,101453328,104036778,102999352.76543,103192080.05189,101551515.54759,93169006.8010301,85188652.18918,80972648.74553
경상북도,91306928,86889349,89902666,81598189,85668863,80347919,83732606,87832247,99821846,97455031,89941355.93369,97759275.69985,90745262,102349768,100012453,95824360,100731090,100015375.01682,93507803.84978,92354744.48222,86331718.2839099,78253630.7265,69953197.65268
경상남도,121050890,136923551,154337590,132569571,185307390,182291574,163047561,157125278,104159173,100654208,83847618.47734,79722378.20788,90671152,97580992,96678630,96424600,94311407,105683206.74821,86551144.29788,73544281.8389,63470283.10542,53971328.18836,49980488.15802
제주특별자치도,12775771,12071128,12369106,12897041,13000584,12588856,12303790,11631830,11270073,9567947,10139547.45882,11785729.85702,14549261,11404990,12290354,13363721,14296277,19933214.55938,17916455.61177,17646931.90884,16727320.32059,14228376.99269,13267416.16291
