,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
서울특별시,16574,16645,16652,16583,16597,16614,16576,16624,16642,16714,16758,16667,16643,16583,16507,16482,16425,16263,16136,16023,15956,15891,15709
부산광역시,4949,4912,4877,4830,4782,4750,4699,4658,4619,4588,4566,4531,4524,4498,4489,4485,4484,4477,4447,4420,4391,4358,4328
대구광역시,2836,2855,2862,2857,2858,2859,2838,2817,2809,2807,2807,2805,2810,2807,2802,2801,2794,2786,2782,2772,2758,2733,2711
인천광역시,2602,2615,2603,2608,2607,2589,2597,2601,2622,2662,2629,2645,2668,2684,2718,2732,2748,2736,2750,2761,2777,2770,2766
광주광역시,2715,2757,2798,2838,2858,2884,2885,2891,2907,2925,2952,2980,2997,3000,3000,3002,3005,2997,2984,2970,2972,2952,2945
대전광역시,2552,2588,2625,2655,2691,2705,2722,2743,2767,2780,2793,2806,2830,2852,2860,2879,2860,2848,2832,2805,2786,2764,2747
울산광역시,972,980,991,1001,1005,1010,1014,1018,1021,1032,1038,1038,1049,1061,1073,1085,1097,1099,1092,1086,1079,1072,1059
경기도,877,902,932,969,1002,1028,1049,1071,1091,1112,1126,1143,1163,1177,1192,1207,1221,1237,1255,1279,1299,1319,1335
강원도,91,91,91,91,90,90,90,89,89,89,89,89,89,90,89,90,90,90,90,90,90,90,90
충청북도,200,201,202,201,201,201,200,200,201,203,204,205,208,210,211,213,215,216,217,218,220,220,220
충청남도,218,219,219,218,218,220,223,226,229,234,236,241,244,249,251,254,256,258,262,265,265,264,264
전라북도,240,239,238,235,232,229,226,224,222,222,222,223,224,225,226,227,227,227,227,226,225,224,222
전라남도,172,170,168,163,160,156,153,151,149,147,146,145,145,145,145,146,146,146,146,146,145,145,144
경상북도,146,146,145,144,142,140,139,139,139,139,138,138,139,140,140,140,141,141,141,141,140,139,139
경상남도,287,289,290,292,294,295,296,297,298,301,303,305,308,310,311,314,316,317,317,318,318,317,314
제주특별자치도,283,284,286,289,290,292,293,294,294,294,295,296,300,303,308,315,324,334,343,354,359,361,363
